timestamp,carrier,distance_scheduled,departures_traffic,arrivals_traffic,wind_speed,wind_direction,taxi_out
2019-11-01 02:54:00,DL,1069,19,46,21,W,26
2019-11-01 03:59:00,AA,1391,19,46,21,W,16
2019-11-01 06:16:00,B6,2446,19,46,21,W,22
2019-11-01 06:19:00,B6,2475,19,46,21,W,25
2019-11-01 02:26:00,DL,760,19,46,21,W,16
2019-11-01 06:10:00,DL,2475,19,46,21,W,16
2019-11-01 01:13:00,B6,187,19,46,21,W,22
2019-11-01 01:24:00,B6,301,19,46,21,W,15
2019-11-01 06:22:00,B6,2422,19,46,21,W,15
2019-11-01 02:21:00,DL,636,19,46,21,W,17
2019-11-01 03:24:00,B6,1182,19,46,21,W,13
2019-11-01 01:24:00,9E,228,19,46,25,WNW,18
2019-11-01 01:35:00,9E,301,19,46,25,WNW,22
2019-11-01 02:33:00,B6,828,18,30,25,WNW,19
2019-11-01 03:52:00,B6,1598,18,30,25,WNW,19
2019-11-01 04:00:00,DL,1521,18,30,25,WNW,14
2019-11-01 05:40:00,DL,2248,18,30,25,WNW,23
2019-11-01 02:21:00,9E,718,18,30,25,WNW,15
2019-11-01 06:14:00,AA,2475,18,30,25,WNW,18
2019-11-01 06:30:00,AS,2569,18,30,25,WNW,23
2019-11-01 02:56:00,B6,944,18,30,25,WNW,17
2019-11-01 02:07:00,9E,509,18,30,25,WNW,18
2019-11-01 04:14:00,B6,1521,18,30,25,WNW,10
2019-11-01 06:37:00,B6,2586,18,30,25,WNW,15
2019-11-01 01:13:00,9E,273,18,30,25,WNW,22
2019-11-01 03:04:00,B6,1041,18,30,25,WNW,14
2019-11-01 06:35:00,AS,2586,18,30,25,WNW,35
2019-11-01 01:22:00,9E,290,18,30,25,WNW,19
2019-11-01 06:20:00,AS,2422,18,30,25,WNW,28
2019-11-01 06:27:00,DL,2586,18,30,25,WNW,22
2019-11-01 01:52:00,YX,483,18,30,25,WNW,11
2019-11-01 02:46:00,9E,740,18,30,25,WNW,25
2019-11-01 01:23:00,9E,264,18,30,25,WNW,18
2019-11-01 03:08:00,B6,1069,18,30,21,W,18
2019-11-01 01:25:00,B6,301,18,30,21,W,18
2019-11-01 11:00:00,HA,4983,19,16,21,W,15
2019-11-01 03:00:00,B6,1028,19,16,21,W,15
2019-11-01 06:16:00,B6,2475,19,16,21,W,14
2019-11-01 06:00:00,DL,2475,19,16,21,W,15
2019-11-01 05:43:00,DL,2248,19,16,21,W,17
2019-11-01 01:26:00,9E,184,19,16,21,W,19
2019-11-01 01:48:00,MQ,425,19,16,21,W,20
2019-11-01 01:22:00,9E,187,19,16,21,W,16
2019-11-01 06:33:00,B6,2586,19,16,20,W,9
2019-11-01 06:22:00,AA,2586,19,16,20,W,21
2019-11-01 03:58:00,AA,1521,19,16,20,W,16
2019-11-01 06:08:00,AA,2475,19,16,20,W,22
2019-11-01 02:55:00,B6,944,17,29,20,W,16
2019-11-01 03:07:00,DL,1029,17,29,20,W,16
2019-11-01 03:03:00,AA,1089,17,29,20,W,17
2019-11-01 05:11:00,DL,1990,17,29,20,W,22
2019-11-01 06:16:00,B6,2465,17,29,20,W,16
2019-11-01 01:10:00,B6,187,17,29,20,W,17
2019-11-01 06:31:00,DL,2586,17,29,20,W,17
2019-11-01 06:35:00,AS,2586,17,29,20,W,20
2019-11-01 06:20:00,AS,2475,17,29,20,W,22
2019-11-01 02:15:00,DL,541,17,29,20,W,12
2019-11-01 06:22:00,DL,2422,17,29,20,W,19
2019-11-01 01:24:00,9E,213,17,29,21,WNW,25
2019-11-01 06:13:00,B6,2475,17,29,21,WNW,13
2019-11-01 06:01:00,DL,2475,17,29,21,WNW,14
2019-11-01 02:26:00,DL,760,17,29,21,WNW,18
2019-11-01 03:53:00,DL,1598,17,29,21,WNW,22
2019-11-01 01:11:00,9E,209,24,20,21,WNW,22
2019-11-01 01:48:00,9E,425,24,20,21,WNW,15
2019-11-01 01:19:00,9E,266,24,20,21,WNW,23
2019-11-01 03:08:00,B6,1069,24,20,21,WNW,23
2019-11-01 06:09:00,AA,2475,24,20,21,WNW,13
2019-11-01 03:05:00,AA,1089,24,20,21,WNW,16
2019-11-01 01:19:00,YX,187,24,20,21,WNW,19
2019-11-01 02:00:00,AA,541,24,20,21,WNW,21
2019-11-01 01:17:00,B6,264,24,20,21,WNW,15
2019-11-01 02:05:00,DL,509,24,20,21,WNW,17
2019-11-01 02:45:00,9E,740,24,20,21,WNW,14
2019-11-01 01:46:00,9E,427,24,20,17,WNW,12
2019-11-01 01:09:00,B6,187,32,22,17,WNW,15
2019-11-01 04:10:00,B6,1417,32,22,17,WNW,13
2019-11-01 06:20:00,AS,2475,32,22,17,WNW,13
2019-11-01 02:06:00,AA,541,32,22,17,WNW,16
2019-11-01 01:27:00,OO,301,32,22,17,WNW,14
2019-11-01 01:19:00,9E,228,32,22,17,WNW,18
2019-11-01 05:33:00,AA,2153,32,22,17,WNW,13
2019-11-01 02:08:00,DL,636,32,22,17,WNW,26
2019-11-01 02:25:00,DL,760,32,22,17,WNW,22
2019-11-01 03:07:00,B6,1069,32,22,17,WNW,21
2019-11-01 03:01:00,B6,1028,32,22,17,WNW,37
2019-11-01 02:38:00,MQ,765,32,22,17,W,23
2019-11-01 02:59:00,B6,1005,36,25,17,W,19
2019-11-01 06:13:00,AA,2475,36,25,17,W,18
2019-11-01 06:15:00,B6,2475,36,25,17,W,11
2019-11-01 03:00:00,B6,1028,36,25,17,W,11
2019-11-01 02:32:00,B6,828,36,25,17,W,13
2019-11-01 04:03:00,AA,1391,36,25,17,W,14
2019-11-01 01:45:00,MQ,340,36,25,17,W,23
2019-11-01 01:35:00,9E,288,36,25,17,W,39
2019-11-01 02:11:00,B6,636,36,25,17,W,11
2019-11-01 01:56:00,9E,340,36,25,17,W,17
2019-11-01 02:21:00,9E,718,36,25,14,W,19
2019-11-01 04:10:00,DL,1417,36,25,14,W,14
2019-11-01 05:44:00,DL,2248,36,25,14,W,22
2019-11-01 01:35:00,OO,213,36,25,14,W,16
2019-11-01 03:16:00,DL,1089,32,25,14,W,17
2019-11-01 03:49:00,B6,1598,32,25,14,W,18
2019-11-01 02:21:00,B6,718,32,25,14,W,15
2019-11-01 02:28:00,MQ,665,32,25,14,W,13
2019-11-01 01:57:00,YX,483,32,25,14,W,19
2019-11-01 01:32:00,MQ,290,32,25,14,W,23
2019-11-01 06:44:00,B6,2586,32,25,14,W,16
2019-11-01 03:13:00,AA,1089,32,25,14,W,23
2019-11-01 03:31:00,B6,1182,32,25,14,W,13
2019-11-01 03:04:00,DL,944,32,25,14,W,21
2019-11-01 01:15:00,B6,187,32,25,14,W,28
2019-11-01 02:36:00,B6,760,32,25,14,W,13
2019-11-01 02:33:00,9E,665,32,25,14,W,18
2019-11-01 06:15:00,DL,2475,32,25,14,W,26
2019-11-01 03:12:00,DL,1069,32,25,14,W,26
2019-11-01 03:03:00,DL,1005,32,25,14,W,19
2019-11-01 02:40:00,DL,760,32,25,14,W,13
2019-11-01 01:24:00,B6,301,32,25,14,W,21
2019-11-01 05:24:00,DL,1990,32,25,15,WNW,22
2019-11-01 02:57:00,AA,740,32,25,15,WNW,17
2019-11-01 02:53:00,OO,740,32,25,15,WNW,37
2019-11-01 03:22:00,DL,1182,34,24,15,WNW,10
2019-11-01 05:54:00,AA,2248,34,24,15,WNW,14
2019-11-01 03:53:00,B6,1598,34,24,15,WNW,13
2019-11-01 06:21:00,B6,2475,34,24,15,WNW,19
2019-11-01 06:40:00,AA,2586,34,24,15,WNW,20
2019-11-01 02:16:00,MQ,589,34,24,15,WNW,17
2019-11-01 02:56:00,B6,944,34,24,15,WNW,12
2019-11-01 02:53:00,B6,740,34,24,15,WNW,19
2019-11-01 06:05:00,B6,2446,34,24,15,WNW,16
2019-11-01 01:51:00,MQ,427,34,24,15,WNW,23
2019-11-01 03:07:00,B6,1069,34,24,15,WNW,16
2019-11-01 01:15:00,MQ,184,34,24,15,WNW,13
2019-11-01 01:44:00,9E,301,34,24,15,WNW,16
2019-11-01 05:40:00,AA,2153,34,24,15,WNW,17
2019-11-01 06:42:00,DL,2586,34,24,15,WNW,17
2019-11-01 01:12:00,B6,266,34,24,15,WNW,14
2019-11-01 03:12:00,B6,1074,34,24,15,WNW,13
2019-11-01 06:17:00,B6,2465,34,24,15,WNW,16
2019-11-01 06:30:00,AS,2475,34,24,16,NW,18
2019-11-01 06:45:00,AS,2586,34,24,16,NW,24
2019-11-01 06:25:00,AA,2475,34,24,16,NW,15
2019-11-01 02:34:00,DL,760,34,24,16,NW,10
2019-11-01 01:39:00,9E,187,30,26,16,NW,17
2019-11-01 01:11:00,B6,187,30,26,16,NW,19
2019-11-01 02:11:00,AA,541,30,26,16,NW,14
2019-11-01 02:15:00,9E,509,30,26,16,NW,19
2019-11-01 01:45:00,B6,427,30,26,16,NW,12
2019-11-01 06:12:00,B6,2465,30,26,16,NW,15
2019-11-01 06:14:00,B6,2475,30,26,16,NW,19
2019-11-01 02:01:00,9E,427,30,26,16,NW,14
2019-11-01 06:19:00,B6,2521,30,26,16,NW,18
2019-11-01 06:22:00,B6,2422,30,26,16,NW,15
2019-11-01 05:34:00,DL,2153,30,26,17,NW,18
2019-11-01 06:40:00,AA,2586,30,26,17,NW,17
2019-11-01 06:26:00,DL,2454,30,26,17,NW,21
2019-11-01 06:32:00,B6,2569,35,34,17,NW,21
2019-11-01 06:10:00,B6,2429,35,34,17,NW,18
2019-11-01 02:40:00,OO,765,35,34,17,NW,7
2019-11-01 04:07:00,DL,1391,35,34,17,NW,13
2019-11-01 04:08:00,DL,1587,35,34,17,NW,12
2019-11-01 06:02:00,B6,2378,35,34,17,NW,22
2019-11-01 04:20:00,AA,1587,35,34,17,NW,15
2019-11-01 06:30:00,DL,2422,35,34,17,NW,26
2019-11-01 03:03:00,B6,1005,35,34,17,NW,16
2019-11-01 01:30:00,B6,301,35,34,17,NW,21
2019-11-01 06:25:00,AS,2422,35,34,17,NW,28
2019-11-01 06:10:00,DL,2475,35,34,17,NW,19
2019-11-01 04:11:00,DL,1521,35,34,17,NW,10
2019-11-01 02:34:00,DL,760,35,34,17,NW,19
2019-11-01 02:24:00,9E,589,35,34,17,NW,21
2019-11-01 06:32:00,B6,2576,35,34,17,NW,22
2019-11-01 02:17:00,AA,541,24,40,17,NW,15
2019-11-01 02:56:00,B6,944,24,40,17,NW,18
2019-11-01 03:06:00,DL,944,24,40,17,NW,13
2019-11-01 01:32:00,MQ,290,24,40,17,NW,36
2019-11-01 06:27:00,AA,2475,24,40,12,NNW,34
2019-11-01 03:08:00,B6,1069,24,40,12,NNW,23
2019-11-01 03:06:00,DL,1005,24,40,12,NNW,15
2019-11-01 06:30:00,DL,2475,24,40,12,NNW,21
2019-11-01 06:12:00,DL,2446,24,40,12,NNW,19
2019-11-01 03:12:00,DL,1089,24,40,12,NNW,17
2019-11-01 02:17:00,9E,425,24,40,12,NNW,31
2019-11-01 03:22:00,DL,1029,24,40,12,NNW,31
2019-11-01 06:49:00,B6,2586,24,40,12,NNW,31
2019-11-01 05:53:00,B6,2248,24,40,12,NNW,37
2019-11-01 05:27:00,B6,1990,24,40,12,NNW,38
2019-11-01 02:36:00,DL,541,24,40,12,NNW,14
2019-11-01 04:38:00,DL,1626,24,40,12,NNW,40
2019-11-01 02:54:00,9E,828,24,40,12,NNW,32
2019-11-01 02:44:00,MQ,765,24,40,12,NNW,19
2019-11-01 05:07:00,B6,1826,24,40,12,NNW,23
2019-11-01 06:43:00,DL,2586,24,40,12,NNW,30
2019-11-01 03:04:00,OO,740,24,40,12,NNW,41
2019-11-01 01:44:00,9E,187,24,40,12,NNW,39
2019-11-01 06:30:00,AS,2475,35,25,12,NNW,37
2019-11-01 04:00:00,DL,1598,35,25,12,NNW,34
2019-11-01 06:28:00,AA,2475,35,25,12,NNW,32
2019-11-01 02:04:00,YX,483,35,25,12,NNW,10
2019-11-01 06:25:00,AA,2475,35,25,12,NNW,19
2019-11-01 02:37:00,B6,828,35,25,12,NNW,19
2019-11-01 02:01:00,9E,427,35,25,12,NNW,13
2019-11-01 01:16:00,B6,209,35,25,12,NNW,18
2019-11-01 03:03:00,B6,1028,35,25,12,NNW,22
2019-11-01 03:17:00,AA,1089,35,25,15,NNW,16
2019-11-01 01:54:00,9E,340,35,25,15,NNW,16
2019-11-01 04:35:00,B6,1626,35,25,15,NNW,17
2019-11-01 03:59:00,B6,1617,35,25,15,NNW,17
2019-11-01 05:43:00,B6,2153,27,34,15,NNW,18
2019-11-01 01:29:00,DL,213,27,34,15,NNW,20
2019-11-01 05:51:00,DL,2248,27,34,15,NNW,18
2019-11-01 06:21:00,B6,2454,27,34,15,NNW,19
2019-11-01 06:39:00,AA,2586,27,34,15,NNW,20
2019-11-01 02:38:00,DL,760,27,34,15,NNW,12
2019-11-01 05:37:00,AA,2153,27,34,15,NNW,12
2019-11-01 01:51:00,MQ,427,27,34,15,NNW,27
2019-11-01 06:16:00,B6,2475,27,34,15,NNW,16
2019-11-01 04:12:00,AA,1521,27,34,15,NNW,13
2019-11-01 01:30:00,9E,209,27,34,15,NNW,19
2019-11-01 01:34:00,9E,228,27,34,15,NNW,13
2019-11-01 05:47:00,B6,2248,27,34,15,NNW,18
2019-11-01 01:28:00,9E,184,27,34,15,NNW,31
2019-11-01 01:51:00,9E,301,27,34,15,NNW,17
2019-11-01 04:12:00,B6,1521,27,34,15,NNW,16
2019-11-01 06:27:00,B6,2475,27,34,15,NNW,14
2019-11-01 01:34:00,9E,264,27,34,15,NNW,16
2019-11-01 02:59:00,B6,1005,27,34,15,NNW,14
2019-11-01 01:39:00,9E,290,27,34,15,NNW,17
2019-11-01 06:30:00,B6,2586,27,34,15,NNW,20
2019-11-01 03:11:00,B6,1074,27,34,15,NNW,16
2019-11-01 06:25:00,AA,2475,27,34,15,NNW,20
2019-11-01 01:27:00,9E,273,30,21,9,NNW,28
2019-11-01 01:33:00,9E,266,30,21,9,NNW,19
2019-11-01 02:48:00,B6,944,30,21,9,NNW,15
2019-11-01 01:23:00,B6,301,30,21,9,NNW,15
2019-11-01 06:14:00,B6,2475,30,21,9,NNW,15
2019-11-01 01:14:00,B6,266,30,21,12,NNW,22
2019-11-01 01:22:00,AA,187,30,21,12,NNW,16
2019-11-01 01:18:00,B6,264,30,21,12,NNW,13
2019-11-01 01:08:00,B6,187,24,25,12,NNW,16
2019-11-01 00:59:00,B6,150,24,25,33,S,12
2019-11-01 03:48:00,B6,1598,24,25,33,S,18
2019-11-01 03:43:00,B6,1576,24,25,33,S,17
2019-11-02 03:01:00,B6,1069,6,1,3,ENE,16
2019-11-02 03:42:00,B6,1598,16,8,3,ENE,15
2019-11-02 02:04:00,B6,636,16,8,3,ENE,14
2019-11-02 02:48:00,B6,944,16,8,3,ENE,19
2019-11-02 02:16:00,DL,760,16,8,5,NE,18
2019-11-02 06:13:00,AA,2475,17,15,5,NE,15
2019-11-02 02:04:00,AA,541,17,15,5,NE,15
2019-11-02 05:36:00,AA,2153,17,15,5,NE,20
2019-11-02 03:52:00,AA,1391,17,15,5,NE,20
2019-11-02 03:24:00,B6,1182,17,15,5,NE,16
2019-11-02 02:23:00,B6,718,17,15,5,NE,22
2019-11-02 01:20:00,DL,187,17,15,5,NE,19
2019-11-02 02:34:00,B6,760,17,15,6,NNE,15
2019-11-02 06:26:00,AA,2586,17,15,6,NNE,21
2019-11-02 01:13:00,B6,209,17,15,6,NNE,16
2019-11-02 06:05:00,DL,2475,17,15,6,NNE,16
2019-11-02 05:19:00,DL,1990,17,15,6,NNE,23
2019-11-02 06:10:00,DL,2422,17,15,6,NNE,20
2019-11-02 01:24:00,B6,264,21,27,6,NNE,28
2019-11-02 06:20:00,AS,2422,21,27,6,NNE,24
2019-11-02 01:13:00,B6,187,21,27,6,NNE,19
2019-11-02 06:19:00,B6,2475,21,27,6,NNE,26
2019-11-02 03:09:00,DL,1029,21,27,6,NNE,29
2019-11-02 01:20:00,B6,301,21,27,6,NNE,19
2019-11-02 03:13:00,B6,1074,21,27,6,NNE,20
2019-11-02 06:15:00,AS,2454,21,27,6,NNE,22
2019-11-02 03:00:00,B6,1005,21,27,6,NNE,18
2019-11-02 02:33:00,B6,828,21,27,6,NNE,18
2019-11-02 01:15:00,B6,266,21,27,6,NNE,19
2019-11-02 06:35:00,AS,2586,21,27,6,NNE,23
2019-11-02 06:20:00,AS,2475,21,27,6,NNE,25
2019-11-02 02:43:00,B6,740,21,27,6,NNE,12
2019-11-02 03:07:00,DL,1182,21,27,6,NNE,16
2019-11-02 02:46:00,AA,740,21,27,9,NNE,33
2019-11-02 01:24:00,B6,301,21,27,9,NNE,13
2019-11-02 04:28:00,DL,1626,21,27,9,NNE,16
2019-11-02 01:33:00,9E,264,21,27,9,NNE,14
2019-11-02 02:09:00,AA,541,21,27,9,NNE,17
2019-11-02 02:56:00,B6,944,21,27,9,NNE,15
2019-11-02 02:51:00,DL,1069,21,27,9,NNE,13
2019-11-02 02:45:00,DL,944,18,47,9,NNE,15
2019-11-02 01:28:00,MQ,290,18,47,9,NNE,16
2019-11-02 02:50:00,DL,1005,18,47,9,NNE,10
2019-11-02 02:54:00,DL,1089,18,47,9,NNE,29
2019-11-02 03:07:00,B6,1069,18,47,9,NNE,22
2019-11-02 05:56:00,DL,2446,18,47,9,NNE,14
2019-11-02 06:36:00,DL,2586,18,47,9,NNE,17
2019-11-02 05:51:00,B6,2248,18,47,9,NNE,30
2019-11-02 02:38:00,DL,828,18,47,9,NNE,15
2019-11-02 03:14:00,AA,1089,18,47,9,NNE,17
2019-11-02 01:44:00,B6,427,18,47,9,NNE,12
2019-11-02 03:53:00,DL,1598,18,47,9,NNE,23
2019-11-02 06:07:00,DL,2454,18,47,9,NNE,20
2019-11-02 06:23:00,DL,2569,18,47,9,NNE,15
2019-11-02 02:35:00,9E,765,18,47,9,NNE,18
2019-11-02 04:13:00,DL,1417,18,47,9,NNE,29
2019-11-02 04:03:00,AA,1623,18,47,9,NNE,28
2019-11-02 04:00:00,AA,1391,18,47,9,NNE,17
2019-11-02 05:36:00,DL,2248,18,47,9,NNE,19
2019-11-02 02:24:00,DL,760,18,47,9,NNE,17
2019-11-02 01:22:00,9E,213,18,47,9,NNE,17
2019-11-02 01:14:00,B6,187,18,47,9,NNE,23
2019-11-02 03:51:00,DL,1623,18,47,9,NNE,24
2019-11-02 01:22:00,9E,184,18,47,9,NNE,19
2019-11-02 05:21:00,B6,1990,18,47,9,NNE,22
2019-11-02 01:48:00,9E,427,18,47,9,NNE,16
2019-11-02 02:30:00,9E,636,18,47,9,NNE,21
2019-11-02 01:22:00,9E,228,18,47,5,E,14
2019-11-02 03:58:00,DL,1521,11,36,5,E,32
2019-11-02 06:14:00,AA,2475,11,36,5,E,13
2019-11-02 02:19:00,9E,718,11,36,5,E,17
2019-11-02 03:52:00,B6,1598,11,36,5,E,16
2019-11-02 06:37:00,B6,2586,11,36,5,E,16
2019-11-02 02:56:00,B6,944,11,36,5,E,20
2019-11-02 02:05:00,9E,509,11,36,5,E,16
2019-11-02 03:04:00,B6,1041,11,36,5,E,16
2019-11-02 06:30:00,AS,2569,11,36,5,E,27
2019-11-02 06:20:00,AS,2422,11,36,5,E,36
2019-11-02 06:35:00,AS,2586,11,36,5,E,27
2019-11-02 01:10:00,B6,187,11,36,5,E,15
2019-11-02 01:20:00,9E,290,11,36,5,E,15
2019-11-02 01:49:00,YX,483,11,36,5,E,20
2019-11-02 02:45:00,OO,740,11,36,5,E,14
2019-11-02 02:16:00,9E,665,11,36,5,E,19
2019-11-02 01:30:00,9E,288,11,36,5,E,16
2019-11-02 03:08:00,B6,1069,11,36,5,E,17
2019-11-02 06:00:00,DL,2475,11,36,5,E,18
2019-11-02 11:00:00,HA,4983,11,36,6,SE,17
2019-11-02 06:16:00,B6,2475,20,14,6,SE,19
2019-11-02 03:00:00,B6,1028,20,14,6,SE,11
2019-11-02 05:32:00,AA,2153,20,14,0,CALM,16
2019-11-02 06:22:00,AA,2586,20,14,0,CALM,22
2019-11-02 06:08:00,AA,2475,20,14,0,CALM,14
2019-11-02 03:00:00,AA,1089,20,14,0,CALM,22
2019-11-02 01:12:00,9E,209,20,14,0,CALM,28
2019-11-02 02:55:00,B6,944,20,14,0,CALM,22
2019-11-02 01:16:00,9E,187,17,27,0,CALM,20
2019-11-02 01:25:00,B6,301,17,27,0,CALM,20
2019-11-02 06:20:00,AS,2475,17,27,0,CALM,20
2019-11-02 03:01:00,B6,1028,17,27,0,CALM,15
2019-11-02 06:35:00,AS,2586,17,27,0,CALM,24
2019-11-02 06:28:00,DL,2586,17,27,0,CALM,12
2019-11-02 03:02:00,DL,1029,17,27,0,CALM,15
2019-11-02 03:08:00,B6,1069,17,27,0,CALM,18
2019-11-02 01:48:00,MQ,425,17,27,0,CALM,18
2019-11-02 02:12:00,DL,541,17,27,0,CALM,18
2019-11-02 06:01:00,DL,2475,17,27,0,CALM,17
2019-11-02 02:55:00,DL,1069,17,27,0,CALM,14
2019-11-02 01:31:00,OO,301,17,27,0,CALM,14
2019-11-02 06:19:00,DL,2422,17,27,0,CALM,18
2019-11-02 01:17:00,B6,264,17,27,6,SW,24
2019-11-02 02:21:00,DL,760,17,27,6,SW,31
2019-11-02 01:12:00,B6,266,24,22,6,SW,19
2019-11-02 06:13:00,B6,2475,24,22,6,SW,34
2019-11-02 01:46:00,9E,427,24,22,6,SW,27
2019-11-02 01:18:00,9E,266,24,22,6,SW,33
2019-11-02 02:00:00,AA,541,24,22,6,SW,23
2019-11-02 01:46:00,9E,425,24,22,6,SW,24
2019-11-02 06:09:00,AA,2475,24,22,6,SW,18
2019-11-02 03:05:00,AA,1089,24,22,6,SW,17
2019-11-02 01:16:00,YX,187,24,22,6,SW,23
2019-11-02 03:52:00,DL,1598,24,22,5,VAR,17
2019-11-02 02:46:00,OO,740,24,22,5,VAR,17
2019-11-02 04:10:00,B6,1417,33,20,5,VAR,13
2019-11-02 01:24:00,9E,301,33,20,5,VAR,21
2019-11-02 02:06:00,AA,541,33,20,5,VAR,25
2019-11-02 06:20:00,AS,2475,33,20,5,VAR,16
2019-11-02 01:15:00,9E,228,33,20,5,VAR,29
2019-11-02 05:33:00,AA,2153,33,20,5,VAR,27
2019-11-02 02:06:00,DL,636,33,20,5,VAR,31
2019-11-02 03:07:00,B6,1069,33,20,5,VAR,26
2019-11-02 02:22:00,DL,760,33,20,5,VAR,28
2019-11-02 02:38:00,MQ,765,33,20,5,VAR,27
2019-11-02 03:49:00,B6,1598,38,25,6,SSE,25
2019-11-02 01:08:00,B6,187,38,25,6,SSE,16
2019-11-02 06:13:00,AA,2475,38,25,6,SSE,16
2019-11-02 06:15:00,B6,2475,38,25,6,SSE,12
2019-11-02 02:59:00,B6,1005,38,25,6,SSE,15
2019-11-02 02:11:00,B6,636,38,25,6,SSE,12
2019-11-02 03:00:00,B6,1028,38,25,6,SSE,16
2019-11-02 02:19:00,9E,718,38,25,6,SSE,40
2019-11-02 02:04:00,9E,427,38,25,6,SSE,19
2019-11-02 01:55:00,9E,483,38,25,6,SSE,14
2019-11-02 05:41:00,DL,2248,38,25,6,SSE,19
2019-11-02 04:24:00,DL,1626,38,25,6,SSE,14
2019-11-02 01:54:00,9E,340,38,25,6,SSE,35
2019-11-02 02:21:00,B6,718,38,25,5,S,15
2019-11-02 01:33:00,9E,213,38,25,5,S,29
2019-11-02 03:11:00,B6,1069,34,26,5,S,11
2019-11-02 03:31:00,B6,1182,34,26,5,S,17
2019-11-02 02:36:00,B6,760,34,26,5,S,13
2019-11-02 02:16:00,DL,509,34,26,5,S,17
2019-11-02 01:43:00,YX,187,34,26,5,S,18
2019-11-02 01:57:00,YX,483,34,26,5,S,13
2019-11-02 01:32:00,MQ,290,34,26,5,S,14
2019-11-02 04:15:00,DL,1417,34,26,5,S,13
2019-11-02 02:31:00,DL,760,34,26,5,S,14
2019-11-02 03:53:00,B6,1598,34,26,5,S,15
2019-11-02 06:44:00,B6,2586,34,26,5,S,13
2019-11-02 06:15:00,DL,2475,34,26,5,S,17
2019-11-02 03:00:00,DL,944,34,26,5,S,13
2019-11-02 03:13:00,AA,1089,34,26,5,S,13
2019-11-02 02:59:00,DL,1005,34,26,5,S,12
2019-11-02 06:36:00,DL,2586,34,26,5,S,15
2019-11-02 01:15:00,MQ,184,34,26,3,E,16
2019-11-02 01:42:00,9E,264,34,26,3,E,14
